指数名称      |2022-02-11    |2022-02-15    |2022-02-17    |2022-02-18    |2022-02-22    |2022-02-24    |2022-02-25    |2022-02-28    |2022-03-02    |2022-03-07    |2022-03-14    |2022-03-21    |2022-03-28    |2022-04-01    |2022-04-11    |2022-04-15    |2022-04-18    |2022-04-21    |2022-04-22    |2022-04-25    |2022-05-16    |2022-05-23    |2022-10-31    |2022-12-01    |2022-12-02    |2023-01-03    |2023-02-01    |2023-03-01    |2023-03-21    |2023-03-17    |2023-03-16    |2023-03-10    |2023-03-22    |2023-03-31    |
中证银行      |5.65(low)     |5.48(low)     |5.54(low)     |5.59(low)     |5.53(low)     |5.41(low)     |5.41(low)     |5.39(low)     |5.42(low)     |5.34(low)     |5.15(low)     |5.17(low)     |5.31(low)     |5.43(low)     |5.41(low)     |5.44)(low)    |5.31)(low)    |5.28)(low)    |5.37)(low)    |5.18)(low)    |4.97)(low)    |4.98)(low)    |4.13)(low)    |4.48)(low)    |4.45)(low)    |4.57)(low)    |4.62)(low)    |4.56)(low)    |4.62)(low)    |4.65)(low)    |4.65)(low)    |4.54)(low)    |4.66)(low)    |4.59)(low)    |
上证红利      |5.51(low)     |5.37(low)     |5.41(low)     |5.47(low)     |5.45(low)     |5.33(low)     |5.29(low)     |5.31(low)     |5.37(low)     |5.36(low)     |5.23(low)     |5.22(low)     |5.40(low)     |5.45(low)     |5.45(low)     |5.54)(low)    |5.45)(low)    |5.42)(low)    |5.50)(low)    |5.36)(low)    |5.27)(low)    |5.27)(low)    |4.67)(low)    |4.93)(low)    |4.91)(low)    |4.82)(low)    |4.91)(low)    |4.96)(low)    |5.14)(low)    |5.18)(low)    |5.15)(low)    |5.01)(low)    |5.19)(low)    |5.14)(low)    |
红利低波      |5.53(low)     |5.38(low)     |5.42(low)     |5.48(low)     |5.45(low)     |5.32(low)     |5.32(low)     |5.30(low)     |5.37(low)     |5.35(low)     |5.20(low)     |5.18(low)     |5.36(low)     |5.52(low)     |5.55(low)     |5.58)(low)    |5.47)(low)    |5.45)(low)    |5.52)(low)    |5.38)(low)    |5.31)(low)    |5.29)(low)    |4.59)(low)    |4.89)(low)    |4.86)(low)    |4.86)(low)    |4.93)(low)    |4.97)(low)    |5.18)(low)    |5.24)(low)    |5.18)(low)    |5.03)(low)    |5.23)(low)    |5.17)(low)    |
标普价值      |6.03(low)     |5.94(low)     |5.86(low)     |5.86(low)     |5.94(low)     |5.83(low)     |5.69(low)     |5.62(low)     |5.66(low)     |5.69(low)     |5.39(low)     |5.46(low)     |5.50(low)     |5.63(low)     |5.84(low)     |5.81)(low)    |5.81)(low)    |5.61)(low)    |5.57)(low)    |5.63)(low)    |5.55)(low)    |5.62)(low)    |4.48)(low)    |5.26)(low)    |5.17)(low)    |5.13)(low)    |5.33)(low)    |5.26)(low)    |5.38)(low)    |5.31)(low)    |5.31)(low)    |5.48)(low)    |5.33)(low)    |5.39)(low)    |
标普红利      |6.03(low)     |5.85(low)     |5.89(low)     |5.96(low)     |5.93(low)     |5.82(low)     |5.82(low)     |5.77(low)     |5.83(low)     |5.81(low)     |5.58(low)     |5.62(low)     |5.82(low)     |6.00(low)     |5.99(low)     |6.03)(low)    |5.91)(low)    |5.82)(low)    |5.91)(low)    |5.73)(low)    |5.77)(low)    |5.76)(low)    |4.92)(low)    |5.34)(low)    |5.31)(low)    |5.31)(low)    |5.46)(low)    |5.16)(low)    |5.38)(low)    |5.42)(low)    |5.35)(low)    |5.21)(low)    |5.44)(low)    |5.41)(low)    |
中证红利      |6.13(low)     |5.96(low)     |6.00(low)     |6.07(low)     |6.03(low)     |5.89(low)     |5.89(low)     |5.87(low)     |5.94(low)     |5.92(low)     |5.71(low)     |5.69(low)     |5.89(low)     |6.03(low)     |6.05(low)     |6.08)(low)    |5.98)(low)    |5.91)(low)    |5.99)(low)    |5.82)(low)    |5.85)(low)    |5.86)(low)    |5.18)(low)    |5.57)(low)    |5.54)(low)    |5.30)(low)    |5.41)(low)    |5.48)(low)    |5.58)(low)    |5.63)(low)    |5.59)(low)    |5.47)(low)    |5.63)(low)    |5.57)(low)    |
300红利LV     |7.08(low)     |6.88(low)     |6.91(low)     |6.97(low)     |6.90(low)     |6.78(low)     |6.78(low)     |6.74(low)     |6.80(low)     |6.71(low)     |6.41(low)     |6.47(low)     |6.62(low)     |6.79(low)     |6.76(low)     |6.81)(low)    |6.67)(low)    |6.58)(low)    |6.68)(low)    |6.45)(low)    |6.40)(low)    |6.40)(low)    |5.42)(low)    |6.04)(low)    |6.01)(low)    |5.67)(low)    |5.83)(low)    |5.87)(low)    |6.05)(low)    |6.09)(low)    |6.03)(low)    |5.85)(low)    |6.11)(low)    |6.04)(low)    |
300价值       |7.61(low)     |7.38(low)     |7.41(low)     |7.49(low)     |7.40(low)     |7.27(low)     |7.27(low)     |7.24(low)     |7.30(low)     |7.20(low)     |6.81(low)     |6.86(low)     |6.99(low)     |7.21(low)     |7.18(low)     |7.24)(low)    |7.09)(low)    |6.96)(low)    |7.06)(low)    |6.79)(low)    |6.83)(low)    |6.88)(low)    |5.96)(low)    |6.66)(low)    |6.61)(low)    |6.55)(low)    |6.80)(low)    |6.94)(low)    |7.06)(low)    |7.18)(low)    |7.09)(low)    |6.89)(low)    |7.12)(low)    |7.07)(low)    |
红利成长LV    |6.21(low)     |6.15(low)     |6.09(low)     |6.13(low)     |6.15(low)     |5.92(low)     |5.92(low)     |5.94(low)     |5.91(low)     |5.83(low)     |5.71(low)     |5.74(low)     |5.84(low)     |5.97(low)     |5.97(low)     |6.01)(low)    |5.98)(low)    |5.87)(low)    |5.88)(low)    |5.72)(low)    |5.53)(low)    |5.61)(low)    |4.62)(low)    |5.34)(low)    |5.28)(low)    |6.93)(low)    |7.30)(low)    |7.11)(low)    |7.11)(low)    |7.11)(low)    |7.11)(low)    |7.11)(low)    |7.11)(low)    |7.11)(low)    |
基本面50      |8.35(low)     |8.16(low)     |8.20(low)     |8.29(low)     |8.14(low)     |7.99(low)     |7.99(low)     |7.96(low)     |8.04(low)     |7.84(low)     |7.49(low)     |7.55(low)     |7.66(low)     |7.91(low)     |7.87(low)     |8.00)(low)    |7.83)(low)    |7.70)(low)    |7.81)(low)    |7.51)(low)    |7.46)(low)    |7.50)(low)    |6.26)(low)    |7.15)(low)    |7.12)(low)    |7.24)(low)    |7.55)(low)    |7.66)(low)    |7.73)(low)    |7.78)(low)    |7.69)(low)    |7.53)(low)    |7.78)(low)    |7.71)(low)    |
