基金名                            |总投资           |盈利额           |初始PE           |2022-02-28              |2022-03-07              |2022-03-14              |2022-03-21              |2022-03-28              |2022-04-01              |2022-04-11              |2022-04-18              |2022-04-25              |2022-05-16              |2022-05-23              |2022-10-31              |2022-12-01              |2022-12-02              |2023-01-03              |2023-02-01              |2023-03-01              |
天弘中证银行指数A                 |6000             |-42              |6.41             |707)(low)               |720)(low)               |774)(low)               |768)(low)               |728)(low)               |696)(low)               |701)(low)               |728)(low)               |765)(low)               |831)(low)               |828)(low)               |1204)(low)              |1023)(low)              |1037)(low)              |983)(low)               |962)(low)               |987)(low)               |
银河沪深300价值指数               |15186            |-166             |9.05             |781)(low)               |789)(low)               |883)(low)               |870)(low)               |838)(low)               |787)(low)               |794)(low)               |814)(low)               |888)(low)               |877)(low)               |865)(low)               |1152)(low)              |923)(low)               |937)(low)               |954)(low)               |885)(low)               |850)(low)               |
大成中证红利指数A                 |7739             |902              |7.96             |919)(low)               |903)(low)               |971)(low)               |978)(low)               |913)(low)               |871)(low)               |865)(low)               |885)(low)               |935)(low)               |925)(low)               |922)(low)               |1180)(low)              |1021)(low)              |1032)(low)              |1127)(low)              |1082)(low)              |1054)(low)              |
创金合信中证红利低波动指数A       |5761             |1003             |6.29             |704)(low)               |691)(low)               |731)(low)               |737)(low)               |688)(low)               |649)(low)               |642)(low)               |661)(low)               |683)(low)               |701)(low)               |706)(low)               |938)(low)               |827)(low)               |837)(low)               |837)(low)               |813)(low)               |800)(low)               |
易方达上证50ETF联接发起式A        |1000             |-38              |11.46            |557)(mid)               |587)(mid)               |652)(mid)               |631)(mid)               |634)(mid)               |616)(mid)               |648)(mid)               |641)(mid)               |718)(mid)               |716)(mid)               |695)(mid)               |950)(low)               |738)(mid)               |746)(mid)               |755)(low)               |680)(mid)               |679)(mid)               |
南方中证全指证券联接A             |1000             |-75              |22.84            |906)(low)               |976)(low)               |1075)(low)              |1022)(low)              |1082)(low)              |1051)(low)              |1133)(low)              |1123)(low)              |1263)(low)              |1094)(low)              |1040)(low)              |878)(low)               |709)(low)               |717)(low)               |769)(low)               |594)(mid)               |631)(mid)               |
招商央视50指数                    |1000             |-8               |9.22             |520)(mid)               |552)(mid)               |593)(mid)               |568)(mid)               |568)(mid)               |533)(mid)               |562)(mid)               |556)(mid)               |609)(mid)               |615)(mid)               |602)(mid)               |892)(low)               |711)(low)               |718)(low)               |679)(low)               |630)(mid)               |630)(mid)               |
华夏上证50AH优选指数（LOF）A      |11477            |-477             |10.70            |524)(mid)               |560)(mid)               |588)(mid)               |562)(mid)               |582)(mid)               |563)(mid)               |586)(mid)               |574)(mid)               |650)(mid)               |698)(low)               |657)(mid)               |1065)(low)              |783)(low)               |784)(low)               |732)(low)               |643)(mid)               |694)(mid)               |
富国中证500指数增强               |3070             |-72              |22.18            |667)(low)               |718)(low)               |804)(low)               |799)(low)               |808)(low)               |738)(low)               |813)(low)               |805)(low)               |1013)(low)              |654)(low)               |618)(low)               |504)(mid)               |440)(mid)               |443)(mid)               |466)(mid)               |413)(mid)               |406)(mid)               |
国泰国证房地产行业指数A           |16828            |-40              |8.61             |457)(low)               |436)(low)               |511)(low)               |480)(low)               |415)(low)               |264)(low)               |274)(low)               |272)(low)               |338)(low)               |40)(mid)                |43)(mid)                |20)(mid)                |10)(mid)                |10)(mid)                |15)(mid)                |5)(mid)                 |5)(mid)                 |
